id,predicted,actual
153,2,2
1130,0,0
1271,1,1
1089,0,1
731,2,2
751,2,2
705,2,2
316,1,2
494,2,2
207,2,2
559,2,2
1485,0,0
1227,2,2
270,0,2
1112,2,2
374,2,1
1428,0,1
394,2,2
539,0,0
244,0,0
1161,0,0
605,1,0
1311,2,2
470,2,2
617,0,0
1409,2,0
11,2,2
719,2,2
860,2,2
449,2,2
490,0,0
569,0,0
1147,0,0
457,0,0
1185,1,1
805,2,2
19,0,0
581,2,2
1166,2,2
328,2,2
1317,0,0
1395,1,1
1349,2,2
1278,0,0
160,0,0
1113,0,0
989,2,2
230,2,2
1392,2,2
36,0,1
1250,2,2
668,2,2
391,0,0
1235,0,2
1497,2,2
796,2,2
345,2,2
1491,2,2
1422,0,0
1128,2,2
410,2,2
117,2,2
861,2,2
1315,2,1
740,2,2
1299,0,0
1084,0,0
964,2,2
536,2,2
1418,2,2
203,2,0
115,2,2
601,2,2
704,2,2
440,2,2
931,2,2
304,2,2
764,2,2
655,2,2
189,1,1
828,2,2
285,0,2
82,2,2
1336,2,2
17,2,2
984,2,2
46,1,1
890,2,2
161,0,2
1461,2,2
583,2,2
1229,0,1
1115,0,2
441,2,2
1305,2,0
1213,0,0
873,0,0
1408,0,0
35,2,2
922,2,2
706,0,0
1348,0,2
683,2,2
52,1,1
460,1,1
1387,0,0
1346,2,2
1478,2,2
716,2,1
424,2,2
253,0,0
300,2,2
1477,0,2
1314,1,2
791,0,0
1002,2,2
1082,0,0
1302,0,2
429,0,0
701,0,0
1330,0,0
659,2,2
5,2,0
638,1,1
167,0,0
250,1,2
769,2,2
886,0,0
1275,0,1
893,2,2
880,2,0
399,2,2
1010,1,1
887,2,2
672,0,2
574,2,2
853,2,2
10,1,1
1066,0,0
1148,2,1
1385,2,2
1337,2,2
1445,2,2
1309,2,2
1493,2,2
762,2,2
1446,2,2
1016,2,2
1057,2,2
290,2,2
159,0,0
262,2,2
729,0,0
969,2,2
845,2,2
1397,0,0
1239,2,2
671,2,2
1296,2,2
190,2,2
1377,0,0
1233,2,1
1390,2,2
878,0,0
1416,2,2
717,2,2
1322,0,2
166,0,0
849,0,2
305,2,2
792,2,2
712,2,2
941,2,2
889,0,0
808,2,2
