id,predicted,actual
1271,2,2
1485,2,2
1112,2,2
1428,2,2
1311,2,2
1409,2,2
328,2,2
1317,2,2
1395,2,2
1349,2,2
1278,2,2
1392,2,2
1497,2,2
1491,2,2
1422,2,2
1315,2,2
1299,2,2
536,2,2
1418,2,2
931,2,2
304,2,2
285,2,2
1336,2,2
1461,2,2
1305,2,2
1213,2,2
1408,2,2
1348,2,2
1387,2,2
1346,2,2
1478,2,2
1477,2,2
1314,2,2
1302,2,2
1330,2,2
1275,2,2
10,2,2
1385,2,2
1337,2,0
1445,2,2
1309,2,2
1493,2,2
762,2,2
1446,2,2
290,2,2
845,2,2
1397,2,2
1239,2,2
1296,2,2
190,2,2
1377,2,2
1390,2,2
1416,2,2
1322,2,2
305,2,2
1495,2,2
1371,2,2
1465,2,2
1481,2,2
1293,2,2
1404,2,2
179,2,2
1353,2,2
1464,2,2
1383,2,2
1419,2,2
1460,2,2
450,2,2
1283,2,2
269,2,2
1470,2,2
1447,2,2
1482,2,2
1220,2,2
1359,2,2
186,2,2
1241,2,2
1413,2,2
1361,2,2
1380,2,2
1448,2,2
1331,2,2
1467,2,2
204,2,2
1463,2,2
364,2,2
763,2,2
1105,2,2
1324,2,2
1026,2,2
1386,2,2
1364,2,2
1468,2,2
813,2,2
1472,2,2
524,2,2
1430,2,2
870,2,2
1350,2,2
866,2,2
713,2,2
1426,2,2
1375,2,2
1492,2,2
1423,2,2
74,2,2
630,2,2
1282,2,2
1437,2,2
1424,2,2
1328,2,2
1207,2,2
681,2,2
1473,2,2
1458,2,2
1356,2,2
438,2,2
939,2,2
1357,2,0
936,2,2
1352,2,0
1325,2,2
1284,2,2
1393,2,2
1163,2,2
1340,2,2
18,2,2
284,2,2
615,2,2
1382,2,2
1240,2,2
426,2,2
1490,2,2
282,2,2
794,2,2
1372,2,2
215,2,2
700,2,2
971,2,2
112,2,2
306,2,2
598,2,2
251,2,2
1295,2,2
479,2,2
804,2,2
998,2,2
724,2,2
765,2,2
220,2,2
1450,2,2
1343,2,2
1443,2,2
1462,2,2
1363,2,2
1329,2,2
1367,2,2
331,2,2
130,2,2
1396,2,2
92,2,2
515,2,2
614,2,2
1398,2,2
485,2,2
795,2,2
1355,2,2
510,2,2
1399,2,2
1368,2,2
57,2,2
679,2,2
1369,2,2
1403,2,2
1449,2,2
1224,2,2
1412,2,2
226,2,2
1285,2,2
1298,2,2
1297,2,2
651,2,2
722,2,2
1048,2,2
55,2,2
1206,2,2
1321,2,2
564,2,2
1414,2,2
1444,2,2
1335,2,2
710,2,2
211,2,2
1332,2,2
1475,2,2
1453,2,2
1376,2,2
1318,2,2
1289,2,2
1420,2,2
1480,2,2
412,2,2
1342,2,2
1374,2,2
522,2,2
975,2,2
1407,2,2
1411,2,2
1338,2,2
956,2,2
108,2,2
891,2,2
266,2,2
1326,2,2
897,2,2
1498,2,2
1281,2,2
359,2,2
1273,2,2
1043,2,2
1433,2,2
1389,2,2
386,2,2
1237,2,2
1391,2,2
1221,2,2
546,2,2
133,2,2
257,2,2
175,2,2
676,2,2
1038,2,2
1312,2,2
990,2,2
715,2,2
1272,2,2
1474,2,2
1469,2,2
1366,2,2
1303,2,2
1345,2,2
1432,2,2
1415,2,2
1307,2,2
1417,2,2
1333,2,2
1401,2,2
1294,2,2
1434,2,2
1400,2,2
86,2,2
691,2,2
1291,2,2
1292,2,2
669,2,2
607,2,2
1370,2,2
1381,2,2
1280,2,2
1421,2,2
1260,2,2
1344,2,2
1466,2,2
1429,2,0
642,2,2
1384,2,2
1455,2,2
1320,2,2
1327,2,2
1306,2,2
301,2,2
1177,2,2
144,2,2
945,2,2
1476,2,2
325,2,2
1029,2,2
1471,2,2
101,2,2
819,2,2
1406,2,2
1484,2,2
1388,2,2
1263,2,2
1456,2,2
1438,2,2
1310,2,2
1365,2,2
1288,2,2
66,2,2
1279,2,2
1378,2,2
1425,2,2
980,2,2
1261,2,2
1268,2,2
1457,2,2
1436,2,2
368,2,2
1454,2,2
1427,2,2
1442,2,2
1323,2,2
1118,2,2
610,2,2
695,2,2
1496,2,2
237,2,2
1172,2,2
997,2,2
134,2,2
1452,2,2
665,2,2
1488,2,2
72,2,2
1394,2,2
1351,2,2
1405,2,2
501,2,2
496,2,2
351,2,2
1274,2,0
1341,2,2
1479,2,2
1334,2,2
757,2,2
443,2,2
383,2,2
1286,2,2
674,2,2
249,2,2
1308,2,2
1313,2,2
1276,2,2
1301,2,2
1300,2,2
1347,2,2
1373,2,2
1362,2,2
1494,2,2
1287,2,2
1277,2,2
1052,2,2
183,2,2
107,2,2
313,2,2
353,2,2
118,2,2
685,2,2
1354,2,2
720,2,2
311,2,2
1319,2,2
1489,2,2
1439,2,2
1068,2,2
1339,2,2
375,2,2
1358,2,2
542,2,2
1402,2,2
1435,2,2
1487,2,2
933,2,2
1440,2,2
591,2,2
1459,2,2
295,2,2
1316,2,2
1056,2,2
1451,2,2
1486,2,2
128,2,2
972,2,2
1483,2,2
439,2,2
454,2,2
1360,2,2
1441,2,2
1156,2,2
287,2,2
699,2,2
994,2,2
1431,2,2
1290,2,2
363,2,2
1304,2,2
1379,2,2
