id,text,sentiment
153,LOCATION1 is in Greater London  and is a very safe place,None
1130,All the neighborhoods around LOCATION1 are very nice and safe,None
1271,"Cheap is LOCATION2, LOCATION1, but not really cool",None
1089,Dont Try LOCATION1,None
731,Find the website for 'Museum in LOCATION1' (part of the Museum of London),None
751,Here is the LOCATION1 branch  Here i,None
705,I come from LOCATION1 so a lot of people famous are from or move here,None
316,I feel sorry for you living in LOCATION1,None
494,I hear that under LOCATION1 is quite cheap,None
207,I liv in tower hamlets in LOCATION1 which is a place where a lot of violence happens wiv gangs e,None
559,"I live in LOCATION1, and am NOT a snob, but know many people around me who are",None
1485,I live in LOCATION2 and would really recommend it or the surrounding areas ( LOCATION1),None
1227,"I live walking distance from LOCATION1 but dont go properly out here, really, just 'out',",None
270,I lived in LOCATION1 for three years and I loved it,None
1112,"I lived in LOCATION2 for a while, which is LOCATION1",None
374,I only go to LOCATION1 to  IKEA - I find it depressing - so I don't go anymore,None
1428,I used to live in LOCATION1 just down the road years ago and the whole of that area was horrible then I live in LOCATION2 now which is lovely,None
394,I was born and brought up in LOCATION1 so I'm biased,None
539,"I would go for LOCATION1, which has a 'villagey' feel about it and (from my experience) is very safe and very attractive",None
244,"I would personally recommend the LOCATION1, in the east of the London",None
1161,I would suggest LOCATION1 its only 15 minutes away on the train and the north circular is only 15 minute drive down,None
605,I wouldn't say the LOCATION1 is a  hole like the other person did,None
1311,"I'd say live in the LOCATION1, particularly in the LOCATION2 area",None
470,I've lived in LOCATION1 on four different occasions,None
617,"I've stayed near LOCATION1 and it's wonderfulclose to the center of town, extraordinarily pleasant to wander around at night, etc",None
1409,If I had the money LOCATION1 or LOCATION2,None
11,"If you live in the London, e g zone 1 (LOCATION1) its expensive",None
719,"LOCATION1 (this is how it is spelt) is not in Greater London, it is wholly within the county of Kent",None
860,LOCATION1 has been part of Greater London since 1965 but some locals still use Kent as part of the address,None
449,LOCATION1 hs the advantage of good transport links both rail and bus routes),None
490,LOCATION1 in LOCATION1 is lovely,None
569,LOCATION1 is a nice area,None
1147,LOCATION1 is lovely but it does suffer from aircraft noise a bit,None
457,LOCATION1 is nice and reasonable to live,None
1185,LOCATION1 is not that nice but is relatively safe,None
805,LOCATION1 is one of these safets places in London,None
19,LOCATION1 is really lovely and has enough pubs/restaurants/shops to keep you going,Positive
581,LOCATION1 is safer,None
1166,"LOCATION1 was the location for the UK's first McDonald's, if that gives you any idea",None
328,LOCATION2 and LOCATION1 - These form an inner London area with lots of original Victorian housing stock,None
1317,LOCATION2 and LOCATION1 are meant to be lush,None
1395,"LOCATION2 is nearer to London,LOCATION1 is a cesspit",None
1349,"LOCATION2, LOCATION1 are all on the central line with good bus routes and houses reasonably cheap",None
1278,Lots of great places around  LOCATION2 and LOCATION1 (tube: Piccadilly Circus or Leicester Square),None
160,My final recommendation would have to be LOCATION1,None
1113,"Parts of LOCATION1, particularly around the Common have become quite upmarket",None
989,"Sorry, I don't have an answer as I live in LOCATION1 and don't really know your area",None
230,"Statistically, the LOCATION1 area is one of the safest areas in London",None
1392,The safest Boroughs are  LOCATION1 and LOCATION2,None
36,There are better places than LOCATION1 to go hang out,None
1250,i live in LOCATION1 and not much happened here thankfully,None
668,the most cheapest area are the worst  you should live LOCATION1,None
391,try LOCATION1,None
1235,we love  LOCATION1  an area that has good food and shopping,None
1497,", LOCATION2 is quite isolated while LOCATION1 has a street full of shops and amenities , but is quite small and does n't have a tube close",None
796,"Academy (LOCATION1) - consistently named as one of the best bars in the world, great vibe and amazing cocktails",Positive
345,Actually what I found is that LOCATION1 is in Sureey but in all other ptactical means it IS part of London/in London,None
1491,"And you've got  very good shopping area's, LOCATION1 and LOCATION2",None
1422,"Area around the LOCATION2, LOCATION1 is popular",None
1128,"As Plashet Road is probably the boundary between the areas of Upton on the north side and LOCATION1 on the south,",None
410,At the moment I live in LOCATION1,None
117,Being close too LOCATION1 never safe,None
861,Come live in LOCATION1 instead,None
1315,Don't do LOCATION2 and Don't do LOCATION1 either,None
740,"Excellent free reggae night in the heart of LOCATION1, south London",Positive
1299,"For singles making a lot of money, try the LOCATION2 or LOCATION1",None
1084,Good luck LOCATION1 is very young and trendy full of media-types,None
