id,text,sentiment
1271,"Cheap is LOCATION2, LOCATION1, but not really cool",None
1485,I live in LOCATION2 and would really recommend it or the surrounding areas ( LOCATION1),None
1112,"I lived in LOCATION2 for a while, which is LOCATION1",None
1428,I used to live in LOCATION1 just down the road years ago and the whole of that area was horrible then I live in LOCATION2 now which is lovely,None
1311,"I'd say live in the LOCATION1, particularly in the LOCATION2 area",None
1409,If I had the money LOCATION1 or LOCATION2,None
328,LOCATION2 and LOCATION1 - These form an inner London area with lots of original Victorian housing stock,None
1317,LOCATION2 and LOCATION1 are meant to be lush,None
1395,"LOCATION2 is nearer to London,LOCATION1 is a cesspit",None
1349,"LOCATION2, LOCATION1 are all on the central line with good bus routes and houses reasonably cheap",None
1278,Lots of great places around  LOCATION2 and LOCATION1 (tube: Piccadilly Circus or Leicester Square),None
1392,The safest Boroughs are  LOCATION1 and LOCATION2,Positive
1497,", LOCATION2 is quite isolated while LOCATION1 has a street full of shops and amenities , but is quite small and does n't have a tube close",None
1491,"And you've got  very good shopping area's, LOCATION1 and LOCATION2",None
1422,"Area around the LOCATION2, LOCATION1 is popular",None
1315,Don't do LOCATION2 and Don't do LOCATION1 either,None
1299,"For singles making a lot of money, try the LOCATION2 or LOCATION1",None
536,"I can see the LOCATION1 is full of new apartment blocks,  close to LOCATION2 and links to the London , yet the rent is cheap",None
1418,I don't want to live in LOCATION2 or LOCATION1 and such areas like this,None
931,I live in London LOCATION1 near to LOCATION2 if u no any place near by or so plz tell me,None
304,"I live in London, in the LOCATION2/LOCATION1 area and have no experience at all",None
285,"I only know about LOCATION1, most people prefer LOCATION2, but that's because they are trendy and I'm not",None
1336,I think the most convenient is the LOCATION2/LOCATION1 area,None
1461,"I would recommend trying out the markets, especially LOCATION1 Market for clothes and LOCATION2 for a very 'authentic' feel of a typical London market",None
1305,"I'd reommend you go LOCATION1, rather than LOCATION2, because there are so few tube stations in LOCATION2 London",None
1213,I'm not from LOCATION2 but the borough but my sister lives in LOCATION1 and she loves it,None
1408,"LOCATION1  - LOCATION2   on the rise, so hurry up",None
1348,LOCATION1  is great for a night out or even  LOCATION2 both great nights out load to do,None
1387,"LOCATION1 , and LOCATION2 are nice locations",None
1346,LOCATION1 and LOCATION2 are quite expensive areas to rent/buy in,None
1478,LOCATION1 and LOCATION2 probably offer the best cheap safe combination,Positive
1477,"LOCATION1 has lots of good restaurants etc , and LOCATION2  is very nice",None
1314,LOCATION1 is a good location (depending on exactly where though to be honest I meant LOCATION2 end isn't exactly glamorous,None
1302,"LOCATION1 is a particularly nice area to live in , LOCATION2 is also extremly nice",None
1330,LOCATION1 is beautiful and you will be highly privileged to live there You 'll be fine LOCATION2 has more restaurants and cafes and has more of an `` urban town '' feel but the three are very close,None
1275,"LOCATION1 is ok , but can be a bit grotty , and getting on to the M1 can be a pain , LOCATION2 , would be more beneficial , as you have the Jubilee line into London , and your only minutes away from Junction 4 of the M1 , to get to Luton",None
10,"LOCATION1 which is a bit of a dump, doesn't reflect LOCATION2 at all",None
1385,"LOCATION1, LOCATION2 have hundreds of bars and nightclubs of all different kinds",None
1337,"LOCATION2 and LOCATION1, are all worth a visit and close enough to explore on foot",None
1445,LOCATION2 has a large Indian/Bangladeshi community and LOCATION1 has a large Afro/Caribbean community,None
1309,LOCATION2 is in London and a really safe suburb and LOCATION1 is just outside of London and is a safe middle class area,Positive
1493,"LOCATION2's not a notoriously high crime area   it's easy walking distance to LOCATION1, you'll enjoy that for the night life",Positive
762,"LOCATION2, LOCATION1 for example are suburban",None
1446,"LOCATION2,LOCATION1 all got quite cheap properties and c2c line will be handy also as it stops at basildon and these places",None
290,Me and my partner are moving to East or LOCATION1 because im in Uni there and he just got a job at LOCATION2,None
845,"Redevelopment of LOCATION1 Basin and Wood Wharf, east of LOCATION2",None
1397,Some parts of LOCATION1 and LOCATION2 are very nice indeed,None
1239,"Stay in LOCATION1, that way when you are going to and from LOCATION2 all you have to do is get on the train and not have to worry about getting across London on the Tube with your suitcases and risk delays and so on",None
1296,The only village type bits of the capital are possibly the quiet areas around LOCATION2 and LOCATION1,None
