id,text,sentiment
1430,LOCATION1 is transforming and the prices will go up and up,None
2013,Along LOCATION1 there are lots of Electronics shops (independent ones),None
1244,And LOCATION1 is ten mins direct on the tube to LOCATION2:,None
209,Another option is LOCATION1 which is very central and has tons of clubs/bars within walking distance of each other,None
2824,Best bet is around LOCATION2 and LOCATION1 area in the northwest corner really nice,None
1835,Central London based taxis mostly refuse fares to suburban areas like LOCATION1,None
1429,Don't go looking at places like LOCATION1  now that IS a rough area you really wouldn't want to live in,None
1404,"Down here in South London the accent [local] tends to be a bit more Kent, while the accent [local] in LOCATION1 tends to be a bit more Essex and Hertfordshire",None
190,Everyone in LOCATION1 is now black or Bangladeshi,None
1281,For gods sake don't move to LOCATION1 its horrible,None
2476,I also live in LOCATION1,None
957,I don't live in London but I know the gay part of London would be LOCATION1,None
1744,I dont like LOCATION1 at all,None
1735,I have friends living in LOCATION1 and love it,None
575,I have heard that LOCATION1 is the place to live in London,None
1191,I liv in LOCATION1 in LOCATION2 which is a place where a lot of violence happens wiv gangs e,None
1696,I live in LOCATION1 and I cant say I recommend it,None
1210,"I live in LOCATION1, been here 11 years with no problems",None
508,"I live in LOCATION1, there's great access to transport, some great pubs, beautiful houses in some areas, good schools",None
949,"I lived in LOCATION1  for ten years it was rough , it was sooo close to the centre of town but so cheap",None
72,I lived in LOCATION1 for 6 months and adored it,None
995,I lived in LOCATION1 from birth to 23 years very near to the Arsenal Stadium,None
61,I really like LOCATION1  I lived there for 3 months and had a lot of fun,None
1218,"I really love LOCATION1,  There are some beautiful houses in the conservation area, there is  Broadway Market and it's on the tube",None
1406,I think LOCATION1 is your best bet,None
2549,"I was born in LOCATION2 I am a cockney,my father was born along the LOCATION1",None
51,I would rather live in LOCATION1,None
2623,I would say either LOCATION1 or LOCATION2 if you have the money,None
1477,I would suggest LOCATION1 as a pretty good area,None
2381,I'd stay away from LOCATION1,None
2147,I've never lived in LOCATION1 but know it reasonably well and would say it's an OK place to live,None
127,"If I had the money, I would live near LOCATION1",None
713,"If you are thinking South London, try LOCATION1",None
771,It does not make that much difference if you fly into Gatwick or LOCATION1,None
2375,It would be worth you looking around LOCATION1,None
2276,"LOCATION1  is traditionally not a wealthy area, in fact it is amongst the poorest areas in the entire UK",None
1979,"LOCATION1 ( pronounced Gren- Itch) is a lovely town, but parts of it can be very expensive",None
2028,LOCATION1 aint too bad,None
2685,LOCATION1 and LOCATION2 are the better area of West and Southwest London,None
2798,LOCATION1 and LOCATION2 areas are nice i think,None
738,LOCATION1 attract many immigrants as it's cheaper,None
1555,LOCATION1 cheap and lovely people,None
1173,"LOCATION1 even has a lovely big park, so you can go for walks etc  good luck",None
453,LOCATION1 has a very large Jewish population,None
721,"LOCATION1 has become a bit more up-market in recent years, and it's not too bad as a place",None
623,"LOCATION1 in LOCATION1 might be suitable, but it's more than 30 minutes to Central London",None
730,LOCATION1 is a good place to live with a major rail station,None
49,LOCATION1 is a mainly Indian area but it very safe - lots of families with children,None
737,LOCATION1 is a nice suburb of LOCATION1,None
2494,"LOCATION1 is a safe area you will see a lot of tourists, sexy ladies",Positive
2301,"LOCATION1 is a trendy, very edgy area with lots of live music venues",None
363,"LOCATION1 is all druggies,  and tourists,",None
1992,LOCATION1 is good,None
715,LOCATION1 is good  and not too shabby,None
1724,LOCATION1 is in the east of London and is one of the more affordable parts of the London to live,None
337,LOCATION1 is just about okay,None
2865,LOCATION1 is lovely and LOCATION2 (as others have said),None
136,LOCATION1 is more expensive (London) but is good for some of the local schools,None
2475,"LOCATION1 is more expensive, but if you're after lots of shops, cafes etc there's more to offer",None
2084,LOCATION1 is not dangerous but it is an ugly jumble of concrete with no character,None
339,LOCATION1 is one of the most affluent areas and offers a much nicer environment to live than south of the river,None
2469,LOCATION1 is one of the ruffest places in London,None
1770,LOCATION1 is pretty bad with its stabbings muggings and general filth of the place,None
1514,LOCATION1 is quite a nice area,None
1903,"LOCATION1 is safe, you will hear noisy drunks at 1 am anywhere",None
505,LOCATION1 is the best by a long shot,None
142,"LOCATION1 is the place, I love it",None
870,LOCATION1 is very suburban,None
2004,LOCATION1 is worth a visit if you are going in the spring or summer time,Positive
1484,LOCATION1 isn't bad,None
2573,"LOCATION1 isn't that bad, its a vibrant and diverse place, which does have crime, but so does LOCATION2",None
1940,"LOCATION1 would be pretty good, it's a laid back spot and mostly locals",None
1646,LOCATION1's a hole,None
803,LOCATION1's a lovely town but very expensive,None
2332,LOCATION1's a very central area close to LOCATION1,None
1401,LOCATION1's nice and quite quiet,None
2921,LOCATION2 and LOCATION1 are the cheapest or are you talking about the real world,None
674,London is so diverse there are no racist areas  I live in LOCATION1 and have never had any problems,None
1338,Lots of the better areas are expensive and definitely LOCATION1,None
208,Off course LOCATION1 is most safest place of Central London,None
2479,"Oh LOCATION1 for me without a doubt, I've always said I would love to live there",None
2734,"The LOCATION1/LOCATION2 area is very expensive, probably the most expensive in London",None
760,The Nobility live in townhouses in LOCATION1,None
1605,The area South of LOCATION1  is also good,None
2784,"The area around LOCATION1 and LOCATION2 stations is very nice, leafy and green, and affordable",None
509,The cheapest area of London is LOCATION1 (DA18),None
1155,There's one place you must visit here in London - LOCATION1 and it's markets,Positive
1648,Think most of the marketing agencies of London are located in and around LOCATION1 - it's also where most of the advertising companies locate to as well,None
2208,Try LOCATION1 or nearby,None
1274,"Try LOCATION1, it has great transport connections and has had a lot of development in the last few years  west London",None
3002,Try searching in  LOCATION1 or LOCATION2,None
517,You may want to consider LOCATION1,None
2352,You will not find anywhere near London much cheaper than LOCATION1,None
429,area around LOCATION1 in very multi-cultural and it is a very busy area,None
2042,"depends how much money you have to spend but avoid most of the LOCATION1,bad transport and alot trouble",None
14,i come from same area as david and have to agree if going to live in suburbia then LOCATION1 area is good but EXPENSIVE,None
885,"i live in LOCATION1 which is in north west extended London, it is great because its not to busy and its not to expensive ether",None
660,if you google victorian LOCATION1 you'll come up with a host of information you can also check it out on streetmap,None
971,"just dont live in LOCATION1, you'll regret it",None
472,just go to LOCATION1 and you'll be in the centre of London,None
2932,really nice area is LOCATION2 or LOCATION1,None
2092,try somewhere round LOCATION1,None
2763,(LOCATION1/LOCATION2) is a very up and coming popular place for artists and musicians while also having lots of great curry houses and Asian food shops,None
1268,"(try LOCATION1, if you haven't already seen it",None
2938,", LOCATION2 and LOCATION1 might be good for you",None
801,Actually what I found is that LOCATION1 is in Sureey but in all other ptactical means it IS part of London/in London,None
2690,Areas like LOCATION1 and LOCATION2 are still regarded as pleasant and safe but are a little less expensive as they are slightly further out from the centre of town,None
2719,"Areas such as LOCATION1 and LOCATION2 are near the MI and either tube lines and are very nice areas, semi-rural in parts",None
1093,"As long as you can afford to live in LOCATION1, it's way nicer (:",None
27,Avoid LOCATION1 - it's super pricey,None
1498,Avoid LOCATION1 - nice place to go out but it's a bit rough (highest assault rate in London),None
1546,"Crossrail mainline link between LOCATION1, central London and north Kent",None
1070,"For the most part, LOCATION1 is a nice area",None
736,"Further development of the Royal Docks area, including the LOCATION1 Quays project",None
1271,"Getting to the London from LOCATION1 is easy , buses go every few minutes",None
2800,Hmm LOCATION1 and LOCATION2 are improving areas,None
2047,However you're unlikely to find anything decent and cheap in LOCATION1,None
380,I Live in LOCATION1 which is close to the center of town and is very nice in my opinion,None
2888,I also like LOCATION1 and LOCATION2 for going out,None
135,"I can't understand the thumbs down for LOCATION1, that area is having lots of money thrown at it right now",None
588,I come from south London and really want to no why so many people think cockneys only come from LOCATION1,None
1551,"I currently live in a very street, depressing, hood area of LOCATION1",None
1310,I do love LOCATION1 but unfortunately due to the increase in rent I will moving further out,None
1323,I don't know LOCATION2 but LOCATION1 is one of the nicest areas of London,None
411,I don't know much about LOCATION2 or LOCATION1,None
755,I feel safer in LOCATION1 than I do in LOCATION2,None
2724,I feel that the LOCATION1  area is pretty safe  I have lived in E9 LOCATION2 and loved it,None
2934,I got my flat broken into in LOCATION1 but never in LOCATION2 area,None
466,I have a friend that lives in a small place called LOCATION1 and it comes under LOCATION2,None
1785,I have heard from some friends that LOCATION1 and places nearby are quite dangerous to live in due to the high criminal cases,None
1248,I have lived in LOCATION1 for 25 years and it's now one the most safest places to live,None
231,I have personally had no major problems while in LOCATION1,None
2,"I have the chance to move to E16 1TX area, it is West LOCATION1",None
351,I just know that I definitely don't want to live in LOCATION1 as it's the most dangerous,None
1661,"I know LOCATION1 well, I'm afraid I wouldn't choose to live there either",None
1666,I live in LOCATION1 and can't even walk across the road to the shop without feeling overly warey,None
1388,I live in LOCATION1 but I've been here seven years and never had a minute's trouble,None
1348,I live in LOCATION1 which is quite boring,None
2612,I live in LOCATION2  and I love it LOCATION1 just stay away from LOCATION1 lol,None
1701,I live in LOCATION2 but Id rather live in LOCATION1,None
1071,I live near the m25 next to the LOCATION1 bridge,None
1287,I must say LOCATION1 is one of my favorite places and i'd love to live there,None
2747,I prefer to live in an area where there are more English people (like where I live now in LOCATION2) or where there are a variety of different cultures (like LOCATION1),None
2720,I recommend LOCATION1 or perhaps LOCATION2,None
1324,I spent a semester abroad in LOCATION1 right around the imperial college I would imagine that area would be greatly expensive but it was a great place to live,None
487,I sure as hell wouldn't wanna be stuck in a shithole like bloody LOCATION1,None
2697,"I think LOCATION2 gets a raw deal because it's close to some dodgy areas like LOCATION1,  but actually it's alright, a bit of a hidden gem in fact",None
2773,"I think LOCATION2 is a pretty good place to live and you're unlikely to have any problems I'm living in LOCATION1, yeah it's a safe area,",None
1288,I think the farthest out in essex to be close to London would be LOCATION1,None
1531,"I used to live in a rented appartment in LOCATION1 during my ""rocking days"" and links into the centre are fast and frequent by tube ""underground railway""",None
1722,"I was born and bred down in LOCATION1, (and I lived down there for twenty-eight years, man and boy),",None
2655,"I will recommend to you areas like LOCATION1, LOCATION2, they have a high Asian population and it is fairly affordable to live there",None
2891,"I would hardly call LOCATION1 or LOCATION2 rough  Well, in all honestly there are ""rough"" parts in every area in London",None
2855,I would never want to live somewhere like LOCATION1 or anywhere in LOCATION2 as I would never get any sleep,None
617,I would pick LOCATION1 as it is the furthest in the center giving you so much things to do,None
768,I would really recommend LOCATION1,None
2219,I would say LOCATION1 but it may exceed your budget by a little but it is worth the move,None
1757,"I would say with the massive increase in supply around the area, and the amount of security they have LOCATION1 is your best bet  Don't waste your money",None
2726,I would stay away from LOCATION1 and LOCATION2 area's as many parts are very run down and deprived,None
306,I would strongly recommend flats in the LOCATION1 as this area is growing quickly and many of the flats are newly built meaning the design will be quite modern as well,None
2804,"I would suggest SE London, somewhere like LOCATION1 or LOCATION2 but it's been years I've lived in London",None
2999,I would suggest looking at the area around LOCATION2 or LOCATION1,None
1597,I'd recommend LOCATION1 and you could easily connect onto the piccadilly line no problem and its cheaper than most areas in London,None
2714,I'd recommend LOCATION2 or LOCATION1,None
270,I've been LOCATION1 a few times and I've never been bothered,None
1868,"I've been offered a job in LOCATION1 (LOCATION2) and am looking for somewhere to live, I've found loads of accomodation within my price range",None
2644,I've been to LOCATION1 and LOCATION2 which are bleak and unfriendly places in daylight,None
744,I've lived in the LOCATION1 for years and I love it - I wouldn't want to live anywhere else,None
2273,"I've never been to LOCATION1 - due to its reputation, mostly",None
405,"I've seen breeders with puppies in LOCATION1, Daventry, 3 in Kent and one in St Neots - and that was just the first page",None
1731,I've spent a lot of time in LOCATION1 and can confirm it's generally quite a deprived area and certainly not that safe after dark,None
1927,If you have alot of money ie rich you can live in nice LOCATION1 posh,None
1602,If you have alot of money ie rich you can live in nice LOCATION1 posh London,None
410,"If you mean flying from the US, then it's basically only LOCATION1 and Gatwick that handle long-haul flights",None
2860,"It ranges from exclusive and very expensive around LOCATION2, to down market and more affordable in places like LOCATION1",None
319,"Keep well clear, LOCATION1's the pits  It's fine",None
2372,LOCATION1  by the way is not a hot bed of crime,None
1881,LOCATION1  has a good market and vibrant afro/caribbean community,None
1787,LOCATION1  has a reputation of being dangerous,None
1766,LOCATION1  has become a very popular area in London and is quite expensive,None
1060,"LOCATION1  has connections to Gatwick and Luton Airports, and lots of cool places that you might want to visit like Brighton",None
2178,LOCATION1  has good restaurants and bars,None
426,LOCATION1  has plenty of food places,None
