id,text,sentiment
1244,And LOCATION1 is ten mins direct on the tube to LOCATION2:,None
2824,Best bet is around LOCATION2 and LOCATION1 area in the northwest corner really nice,None
1191,I liv in LOCATION1 in LOCATION2 which is a place where a lot of violence happens wiv gangs e,None
2549,"I was born in LOCATION2 I am a cockney,my father was born along the LOCATION1",None
2623,I would say either LOCATION1 or LOCATION2 if you have the money,None
2685,LOCATION1 and LOCATION2 are the better area of West and Southwest London,None
2798,LOCATION1 and LOCATION2 areas are nice i think,None
2865,LOCATION1 is lovely and LOCATION2 (as others have said),None
2573,"LOCATION1 isn't that bad, its a vibrant and diverse place, which does have crime, but so does LOCATION2",None
2921,LOCATION2 and LOCATION1 are the cheapest or are you talking about the real world,None
2734,"The LOCATION1/LOCATION2 area is very expensive, probably the most expensive in London",None
2784,"The area around LOCATION1 and LOCATION2 stations is very nice, leafy and green, and affordable",None
3002,Try searching in  LOCATION1 or LOCATION2,None
2932,really nice area is LOCATION2 or LOCATION1,None
2763,(LOCATION1/LOCATION2) is a very up and coming popular place for artists and musicians while also having lots of great curry houses and Asian food shops,None
2938,", LOCATION2 and LOCATION1 might be good for you",None
2690,Areas like LOCATION1 and LOCATION2 are still regarded as pleasant and safe but are a little less expensive as they are slightly further out from the centre of town,None
2719,"Areas such as LOCATION1 and LOCATION2 are near the MI and either tube lines and are very nice areas, semi-rural in parts",None
2800,Hmm LOCATION1 and LOCATION2 are improving areas,None
2888,I also like LOCATION1 and LOCATION2 for going out,Positive
1323,I don't know LOCATION2 but LOCATION1 is one of the nicest areas of London,None
411,I don't know much about LOCATION2 or LOCATION1,None
755,I feel safer in LOCATION1 than I do in LOCATION2,None
2724,I feel that the LOCATION1  area is pretty safe  I have lived in E9 LOCATION2 and loved it,None
2934,I got my flat broken into in LOCATION1 but never in LOCATION2 area,None
466,I have a friend that lives in a small place called LOCATION1 and it comes under LOCATION2,None
2612,I live in LOCATION2  and I love it LOCATION1 just stay away from LOCATION1 lol,None
1701,I live in LOCATION2 but Id rather live in LOCATION1,None
2747,I prefer to live in an area where there are more English people (like where I live now in LOCATION2) or where there are a variety of different cultures (like LOCATION1),None
2720,I recommend LOCATION1 or perhaps LOCATION2,None
2697,"I think LOCATION2 gets a raw deal because it's close to some dodgy areas like LOCATION1,  but actually it's alright, a bit of a hidden gem in fact",None
2773,"I think LOCATION2 is a pretty good place to live and you're unlikely to have any problems I'm living in LOCATION1, yeah it's a safe area,",None
2655,"I will recommend to you areas like LOCATION1, LOCATION2, they have a high Asian population and it is fairly affordable to live there",None
2891,"I would hardly call LOCATION1 or LOCATION2 rough  Well, in all honestly there are ""rough"" parts in every area in London",None
2855,I would never want to live somewhere like LOCATION1 or anywhere in LOCATION2 as I would never get any sleep,None
2726,I would stay away from LOCATION1 and LOCATION2 area's as many parts are very run down and deprived,None
2804,"I would suggest SE London, somewhere like LOCATION1 or LOCATION2 but it's been years I've lived in London",None
2999,I would suggest looking at the area around LOCATION2 or LOCATION1,None
2714,I'd recommend LOCATION2 or LOCATION1,None
1868,"I've been offered a job in LOCATION1 (LOCATION2) and am looking for somewhere to live, I've found loads of accomodation within my price range",None
2644,I've been to LOCATION1 and LOCATION2 which are bleak and unfriendly places in daylight,None
2860,"It ranges from exclusive and very expensive around LOCATION2, to down market and more affordable in places like LOCATION1",None
2923,"LOCATION1 , LOCATION2 are all places with low crime",None
2817,"LOCATION1 LOCATION2, both shite holes",None
2740,LOCATION1 and LOCATION2 are also good areas for cheaper flats,None
2786,"LOCATION1 and LOCATION2 are both expensive and up-scale neighbourhoods , so you need have no worries apart from the huge cost of living there of course",None
2627,"LOCATION1 and LOCATION2 are both okay , again , affordable and good transport",None
1132,LOCATION1 and LOCATION2 are is full of more pretentious hipsters than chavs,None
1502,LOCATION1 in Kent is a lovely ancient market town with a good fast rail service to LOCATION2,None
