id,text,sentiment
302,LOCATION1 is just a normal area that happens to have an alternative market,None
460,""" My mate then went on to ask: ""Well, isn't LOCATION2 considered PART of LOCATION1",None
582,"""I'm from LOCATION1 so I'm hard""",None
465,'Bo-bos' - bourgeois bohemians - are particularly prevalent in these parts (these are the British equivalent of American Trustafarians - young boys and girls who have a rich mummy and daddy but who pretend to be poor) Its in the suburbs of London in LOCATION1,None
270,"( I was born n maternity hospital in Clapton ) Lived in LOCATION2 and LOCATION1 , Not now though thanks",None
322,"( LOCATION1 is the nearest tube station , just about a 4 min walk ) Youre lucky youre going to be studying in London",None
330,"(If only LOCATION1/London is London then even SW2 isn't London either)  Cor - makes you so wild, doesn't it",None
20,"(That's a point for Surrey - the county cricket club is based at the LOCATION1 cricket ground, which isn't even in Surrey any more",None
615,) A mate of mine from back home tells me LOCATION1 was on a compulsory four P,None
662,", LOCATION1 , LOCATION2 are all good places to stay and within 35 minutes by fast train from Central London",None
464,- The LOCATION1 street shows,None
482,18.15 Birmingham moor street - LOCATION1 Or use snow hill,None
500,28 out of 30  I only know LOCATION1 well,None
197,"373 Lonsdale Road, LOCATION1, London SW13. Tel: 020 8765241 [South of the river",None
69,:) or LOCATION1,None
530,":/ When we stayed in London the first time, we stayed in LOCATION2 near LOCATION1",None
226,"@b: LOCATION1 is in Hertfordshire not London, and it is even worse than Bexley",None
292,A Brazilian man was shot there 3 years ago in LOCATION1 station by a policeman i think he was a suspected terrorist of the 7/7 bombings on London transport,None
78,"A friend of mine lived in LOCATION1 and she liked it, though other people have told me it's a bit rough",None
105,"A good place to live would be LOCATION1 which is fairly central and not as expensive as some other areas but full of bars, pubs and restaurants",None
591,"A lot of London's central core was built of LOCATION1 and brick, as was mentioned by other answerers of this question",None
323,"A must see place is LOCATION1 what with the street entertainers good places to eat, a great market and some nice places to drink",None
593,"Above all the fact that London London and London town were two different jurisdictions, and LOCATION1 had its own jurisdiction",None
610,"Additionally , the School of Oriental and African Studies ( SOAS ) has a large number of students from Asian backgrounds and countries and their student union regularly holds and hosts events to which they welcome non-SOAS students : The above website also has some links under ` Housing and Accomodation ' for affordable housing options for all students LOCATION1 can be a nice area - near the cemetery is good , but maybe too expensive for you",None
633,"Administratively, LOCATION2 is part of the London borough of LOCATION1",None
459,Agree with LOCATION1,None
31,All have their share of Bars and Night life etc but for this I think LOCATION1 would be my favourite,None
112,All in all LOCATION1 one of the better suburbs of London though can be expensive,None
381,All this is REALLY easy to look up yourself  Look at a MAP  SE London YUCK LOCATION1 is where I live,None
419,"All told , if money was no object then LOCATION1 is the area of London I would choose to live in",None
579,Allow 1 hour You can also take an SWT train from LOCATION2 (Surface Rail Station) to LOCATION1 then the Bakerloo Line to Regent's Park,None
164,Also parts of LOCATION1,None
348,"Also police stats show that LOCATION1, which includes most of these areas, scores pretty highly on numbers of reported racist crimes",None
709,Also there 's LOCATION2 right next to it - also very good for rent rates - check it out LOCATION1 is nice but quiete area,None
679,"Also, I would suggest LOCATION1/LOCATION2",None
346,"Also, no trees so plenty of space to park on the pavement  Hamstead, LOCATION2, LOCATION1, Regent's Park Bishops avenue N2, OMFG",None
655,"Also, the areas of LOCATION2 and LOCATION1 in NW London can be a bit unsafe, but you are unlikely to go to those anyway",None
144,"Alternatively, some writers suggest that LOCATION1 can refer to nearby Campden Hill, but the local place name and map evidence is against this",None
436,"Although i live in LOCATION1, Essex",None
734,"Although i think LOCATION1 is quite expensive, a hot spot for the rich and succesful  LOCATION2,  Highly sought-after area, housing is pricey, large Jewish population",None
684,"Although there are nice sections of LOCATION2 with great amenities, LOCATION1 seems to be the up and coming nicer areas",None
458,An address with a London Postal district - eg N18 or N9 would not have used LOCATION1 in the address when the county was still in existence,None
349,"An aerial view of the baroque Naval College, Queen's House, National Maritime Museum and LOCATION1 with The    - Cached",None
117,And i agree the Dublin Castle is one of my favorite pubs in LOCATION1,None
234,"And you ca n't talk with the police because they are all corrupt London is the most expensive London in the UK and apartments are mostly quite expensive , but if you really want to move here , LOCATION1 is probably the least expensive part of town",None
509,"Anyway , LOCATION1 is your best bet for secure  although completely soul-less and sterile",None
116,Anywhere BUT LOCATION1 or LOCATION2 I am moving with my girlfriend to London due to my career,None
671,Areas such as LOCATION1 or LOCATION2 are far more pleasant,None
499,"As for LOCATION1, there is  shopping Street and easy access to the London or Westend",None
37,As for the other places they've listed then they're all good apart from LOCATION1,None
443,As to the getting mugged and killed - just avoid LOCATION1,None
232,"At LOCATION1, the Jubilee line had to be tunnelled very deep to avoid so much secret underground stuff",None
433,"At the end of the LOCATION1 is trafalgar Square, which was built in the early 19th century",None
554,At the moment I live in LOCATION1,None
389,Avoid LOCATION1 - it's super pricey,None
408,Avoid LOCATION1 though,None
289,"Basically if your heading for the LOCATION1, buy or rent on the river, there tends to be plenty of police around so the crime rate is reasonably good",None
581,Be sure to visit Speaker Corner and listen to all the crazies rant on about just about everything imaginable and feel free to heckle Yeah LOCATION1 is free and it 's a great place to have a family day out,None
317,"Because it is close to London , has good quality housing and good schools , LOCATION1 is an expensive area to live",None
325,"Being in LOCATION1 where I'm currently renting I don't feel I'm well outside my home area thankfully, but still on the edge of it",None
669,Best bet is around LOCATION2 and LOCATION1 area in the northwest corner really nice I used to know someone who lived there,None
332,"Big Ben was boring but nearby I think in or near LOCATION1 abbey there is this place you can go to see some very rare books, and I think THE first book printed",None
139,But LOCATION1 does not have London postcodes,None
382,But basically people live where they can afford  LOCATION1 Rich and Famous,None
498,"But on the upside, some parts of LOCATION1 are really lovely , there are excellent bus services to anywhere you need to go",None
345,"But some parts are e g LOCATION1, however once again, very expensive and lots of snobbery going on there",None
274,"But to the north and east, LOCATION1 is surprisingly peaceful and leafy",Positive
33,"But, there are some very famous places LOCATION1  that are so well known that they get a great many tourists",None
335,Can I also add that LOCATION1 clings to the edge of the Greater London area,None
119,Chamberlayne becomes Ladbroke Grove which obviously has a lot going on and take you in to LOCATION1,None
190,Cheers  Check out LOCATION1 in LOCATION2,None
648,Choose LOCATION2 or LOCATION1 if you want to hang out with toffs or famous people,None
175,Close to LOCATION1,None
461,Communication wise it's the best cause in the LOCATION1 tube station there r two main lines,None
540,Consider trendy LOCATION1 (W11) in west London,None
220,"Considering that it is part of a major London LOCATION1 is pretty low on the crime scale, but it is quite expensive",None
495,"Do n't worry , LOCATION1 is not that bad",None
573,Do the same at the next stop (LOCATION1 Green I think),None
140,Do you mean LOCATION1 in south east suburban London or the bromley-by-bow,None
261,Do you mean Wood Street in LOCATION1,None
249,EDIT I did this in the area of LOCATION1 I bought in,None
624,"EDIT: I noticed people mentioning LOCATION1 and Bromely, you must keep in mind these places are on the outskirts of London and are classed as Kent for the most part",None
521,Eating out = LOCATION2 is a rip off really and the best indian restaurants are in LOCATION1,None
551,"Enter the address code NW6 7YR - know that once LOCATION1 would have been a village , as so many areas in London were",None
588,"Even Google Maps call it 'LOCATION1, Greater London' blimey",None
604,"Fabric: A massive club in LOCATION1, playing house, techno and electro on a Saturday",None
592,Find a place in LOCATION1 - right now the price of houses is depressed,None
462,"Finnaly , LOCATION1 is n't too bad , particularly around the Furzedown area - although again , prices are starting to creep up",None
455,"First of all , yes LOCATION1 is extremely rough",None
153,For a poor area think no further than LOCATION1 -,None
127,"For evening entertainment besides bars, I reccommend (if you have time) a concert in LOCATION1 or the Comedy Store",None
558,"For example, someone I know found a flat in LOCATION1 for like 450,000, when they got there they found that it was located on the corner of the A4 and a railway line and was really grotty inside",None
195,For great cocktails go to St Germain just outside LOCATION1 tube they have happy hour so 2 for 7 and are some of hte nicest in London,None
321,For instance in LOCATION1 there is Roadhouse and Los Locos,None
240,For that money you can live around LOCATION1,None
36,"For the record, I was born in the North Mid Hospital which is in LOCATION1",None
549,Frequent trains from LOCATION1 Station to LOCATION2 in central London take 18 minutes,None
646,From LOCATION2 you get easy access by bus to LOCATION1 for Tube (District Line),None
57,From there you could drive to LOCATION1 station next day and it has a large car park,None
686,"Further away there is LOCATION2 and LOCATION1, both a bit cheaper",None
546,GOOD LUCK LOCATION1 is where I live,None
553,"Get on the tube again (or bus) and continue East  Keep going until LOCATION1  That will be the cheapest ""convenient"" areas of London",None
258,"Go to LOCATION1, they play almost every great band there",None
376,Good areas where lots of travelers live are LOCATION1 and Shepperds Bush and they're quite central to London (in the West),None
63,Good luck and god bless LOCATION1 is in my opinion is alot nicer than LOCATION1,None
566,"Greater London is the suburbs Croyden , LOCATION1 and richmond are towns in Surrey which is part of Greater London",None
470,Guy 's Hospital I think LOCATION1 ( N7 ) is getting expensive for very solid reasons,None
41,Having said that though LOCATION1 is still a safe area there are always lots of Police around and I have never once felt unsafe in the area even alone at 1 o'clock in the morning,None
304,"Head for LOCATION1, there is a market there but there are also loads of clothes and shoe shops, everything from Ted Baker, LK Bennett and Reiss to Oasis and Monsoon",None
215,"Head to LOCATION2, follow the signs to the LOCATION1",None
54,Here LOCATION1 would be best as that is on the direct line to Rochester,None
85,"Here is a list of all the cycling clubs in the LOCATION1 District, they are spread over quite a wide area and if you are primarily interested in road racing, you will need to ask if they have road racing members, or only time-trialists",None
606,"Hi, Greater London is just the area's around London such as, LOCATION1, LOCATION2 and many others",None
596,"Hi, im from LOCATION1",None
336,Hope that helps  LOCATION1 is a nice place to live,None
613,However Isledon Road is more in LOCATION2 than LOCATION1,None
735,"However LOCATION2 and LOCATION1 are more affordable , plus you feel like you 're out of the London so they 're a bit more relaxed",None
271,"However, I don't like LOCATION1",None
98,"However, between April and September part of the LOCATION1 is transformed into a beach area",None
640,"However, the outer suburbs of SE London (LOCATION1 and LOCATION2) are quite pleasant  It will be absolutely fine",None
487,"However, you can also consider LOCATION1, where youd find various detached villas with large gardens",None
314,"I 've heard a lot of people saying that LOCATION1 is dangerous , is that true",None
222,I also know a couple of people who are moving to LOCATION1  and they rate it highly,None
642,I also know lots of people in areas like LOCATION2 and LOCATION1 who never once felt unsafe when they lived there,None
