id,text,sentiment
460,""" My mate then went on to ask: ""Well, isn't LOCATION2 considered PART of LOCATION1",None
270,"( I was born n maternity hospital in Clapton ) Lived in LOCATION2 and LOCATION1 , Not now though thanks",None
662,", LOCATION1 , LOCATION2 are all good places to stay and within 35 minutes by fast train from Central London",None
530,":/ When we stayed in London the first time, we stayed in LOCATION2 near LOCATION1",None
633,"Administratively, LOCATION2 is part of the London borough of LOCATION1",None
579,Allow 1 hour You can also take an SWT train from LOCATION2 (Surface Rail Station) to LOCATION1 then the Bakerloo Line to Regent's Park,None
709,Also there 's LOCATION2 right next to it - also very good for rent rates - check it out LOCATION1 is nice but quiete area,None
679,"Also, I would suggest LOCATION1/LOCATION2",None
346,"Also, no trees so plenty of space to park on the pavement  Hamstead, LOCATION2, LOCATION1, Regent's Park Bishops avenue N2, OMFG",None
655,"Also, the areas of LOCATION2 and LOCATION1 in NW London can be a bit unsafe, but you are unlikely to go to those anyway",None
734,"Although i think LOCATION1 is quite expensive, a hot spot for the rich and succesful  LOCATION2,  Highly sought-after area, housing is pricey, large Jewish population",None
684,"Although there are nice sections of LOCATION2 with great amenities, LOCATION1 seems to be the up and coming nicer areas",None
116,Anywhere BUT LOCATION1 or LOCATION2 I am moving with my girlfriend to London due to my career,None
671,Areas such as LOCATION1 or LOCATION2 are far more pleasant,None
669,Best bet is around LOCATION2 and LOCATION1 area in the northwest corner really nice I used to know someone who lived there,None
190,Cheers  Check out LOCATION1 in LOCATION2,None
648,Choose LOCATION2 or LOCATION1 if you want to hang out with toffs or famous people,None
521,Eating out = LOCATION2 is a rip off really and the best indian restaurants are in LOCATION1,None
549,Frequent trains from LOCATION1 Station to LOCATION2 in central London take 18 minutes,None
646,From LOCATION2 you get easy access by bus to LOCATION1 for Tube (District Line),None
686,"Further away there is LOCATION2 and LOCATION1, both a bit cheaper",None
215,"Head to LOCATION2, follow the signs to the LOCATION1",None
606,"Hi, Greater London is just the area's around London such as, LOCATION1, LOCATION2 and many others",None
613,However Isledon Road is more in LOCATION2 than LOCATION1,None
735,"However LOCATION2 and LOCATION1 are more affordable , plus you feel like you 're out of the London so they 're a bit more relaxed",None
640,"However, the outer suburbs of SE London (LOCATION1 and LOCATION2) are quite pleasant  It will be absolutely fine",None
642,I also know lots of people in areas like LOCATION2 and LOCATION1 who never once felt unsafe when they lived there,None
670,"I also like LOCATION2 and LOCATION1 , it 's very vibrant",None
700,"I am afraid no part of London in particular is not a safe place to live , especially for a 20 year old woman , but in comparison , South London , and LOCATION2 have higher crime rates and LOCATION1 has the highest rate of crime and it has been named `` The Murder Capital of Europe",None
590,"I am going to Royal LOCATION2 in LOCATION1, Surrey, whilst he is going to LCC which is more central",None
490,"I didn't make much and paid 300 a month for a shared flat in LOCATION1, in LOCATION2 near Green Lanes",None
